,问卷编号,调查员,民族,政治面貌,年级,您觉得自己是个典型的中国人吗,与世界其他国家的人相比中国人有自己的特点吗,v1,v2,v3,v4,你是否了解重活民族的传统节日,v5,您觉得中国怎么样,您认为中国有多少值得自豪的地方,您认为世界有多少比例的人尊重中国,对您而言作为一名中国人有多重要,会以中国人自豪吗,会隐瞒身份吗,会打多少分,国歌升起,世博会,中国传统文化,发展信心,你会为中国运动员呐喊助威,遇到灾难时中国人应该伸出援手,你愿意加入其他国籍吗,中国人要为祖国统一奋斗吗
220,48.0,廖雪钞,苗族,团员,大二,完全是,非常有特点,同意,完全同意,同意,同意,比较了解,比较了解,挺好,特别多,大多数比例,十分重要,会,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,很赞同
221,49.0,廖雪钞,汉族,团员,大二,完全是,较有特点,完全同意,完全同意,完全同意,完全同意,完全了解,完全了解,挺好,很多,较多比例,比较重要,有些,可能会,六十到八十,一般,一般,比较肯定,很有信心,肯定会,很赞同,做外籍华人,很赞同
222,50.0,廖雪钞,汉族,群众,大二,完全是,较有特点,同意,完全同意,同意,完全不同意,比较了解,完全了解,一般般,有一些,较多比例,比较重要,无所谓,很可能不会,四十到六十,比较激动,一般,古板，跟不上潮流,不清楚,不一定,很赞同,毫不犹豫加入,不一定
223,51.0,廖雪钞,汉族,团员,大二,完全是,较有特点,不同意,不同意,不同意,完全不同意,不太了解,不太了解,较差,特别少,大多数比例,比较重要,不太会,可能会,零到二十,一般,比较好,比较肯定,没信心,不一定,不赞同,不加入,不赞同
224,52.0,廖雪钞,回族,团员,大二,完全是,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,完全了解,十分棒,特别多,较多比例,十分重要,有些,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,赞同,做外籍华人,很赞同
225,53.0,廖雪钞,汉族,团员,大二,完全是,非常有特点,完全同意,完全同意,有点同意,完全同意,比较了解,比较了解,一般般,有一些,较多比例,十分重要,有些,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,赞同,其他,赞同
226,54.0,廖雪钞,苗族,团员,大四,完全是,非常有特点,完全同意,完全同意,同意,同意,完全了解,完全了解,很差劲,有一些,不多的比例,比较重要,无所谓,绝对不会,六十到八十,一般,感到自豪,比较肯定,担忧不好说,大多数情况下会,很赞同,不加入,很赞同
227,55.0,廖雪钞,壮族,团员,大四,完全是,非常有特点,同意,完全同意,有点同意,同意,比较了解,比较了解,挺好,很多,较多比例,一般般,有些,一定会,六十到八十,一般,一般,比较肯定,担忧不好说,肯定会,赞同,其他,赞同
228,56.0,廖雪钞,汉族,团员,大四,完全是,非常有特点,完全同意,同意,有点同意,同意,比较了解,比较了解,十分棒,特别多,较多比例,比较重要,会,绝对不会,八十到一百,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,赞同
229,57.0,廖雪钞,白族,团员,大四,完全是,较有特点,同意,完全同意,同意,同意,比较了解,比较了解,挺好,很多,较多比例,比较重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,赞同,不加入,赞同
230,58.0,廖雪钞,汉族,团员,大四,可以算,一般般,有点同意,同意,不同意,同意,比较了解,不太了解,较差,很少,不多的比例,一般般,无所谓,绝对不会,四十到六十,比较激动,一般,比较肯定,担忧不好说,不一定,不赞同,其他,不一定
231,59.0,廖雪钞,壮族,群众,大四,可以算,毫无特点,同意,同意,同意,同意,比较了解,比较了解,一般般,有一些,不多的比例,一般般,会,也许会也许不会,八十到一百,一般,一般,比较肯定,担忧不好说,大多数情况下会,赞同,做外籍华人,赞同
232,60.0,廖雪钞,壮族,团员,大四,完全是,较有特点,有点同意,同意,有点同意,不同意,比较了解,比较了解,一般般,有一些,较多比例,一般般,无所谓,绝对不会,六十到八十,一般,比较好,比较肯定,担忧不好说,大多数情况下会,赞同,其他,不一定
233,421.0,郭廉卿,汉族,群众,大二,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,完全了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,不一定,不加入,很赞同
234,422.0,郭廉卿,汉族,团员,大二,完全是,较有特点,完全同意,完全同意,完全同意,完全同意,完全了解,不太了解,挺好,很多,较多比例,比较重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,不加入,很赞同
235,423.0,郭廉卿,汉族,团员,大二,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,比较了解,比较了解,十分棒,特别多,不多的比例,十分重要,会,很可能不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,很赞同,做外籍华人,很赞同
236,424.0,郭廉卿,汉族,团员,大二,完全是,较有特点,同意,完全同意,同意,有点同意,比较了解,不太了解,一般般,特别多,较多比例,比较重要,会,一定会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,做外籍华人,不一定
237,425.0,郭廉卿,汉族,群众,大二,可以算,非常有特点,完全同意,有点同意,完全同意,有点同意,不太了解,完全了解,挺好,很多,较多比例,十分重要,会,绝对不会,六十到八十,一般,比较好,富有内涵，意义深刻,担忧不好说,大多数情况下会,赞同,不加入,赞同
238,426.0,郭廉卿,汉族,团员,大一,完全是,非常有特点,完全同意,完全同意,同意,完全同意,比较了解,比较了解,挺好,很多,不多的比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,其他,很赞同
239,427.0,郭廉卿,汉族,团员,大一,完全是,非常有特点,完全同意,完全同意,有点同意,同意,比较了解,比较了解,十分棒,特别多,较多比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,比较肯定,很有信心,肯定会,赞同,不加入,赞同
240,429.0,郭廉卿,土家族,团员,大一,完全是,非常有特点,完全同意,完全同意,同意,完全同意,比较了解,比较了解,挺好,很多,较多比例,十分重要,会,一定会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,很赞同
241,430.0,郭廉卿,汉族,团员,大一,可以算,非常有特点,完全同意,完全同意,同意,完全同意,比较了解,比较了解,一般般,很多,不多的比例,十分重要,有些,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,担忧不好说,肯定会,很赞同,其他,很赞同
242,431.0,郭廉卿,壮族,团员,大一,可以算,较有特点,同意,同意,同意,完全同意,完全了解,比较了解,挺好,很多,大多数比例,十分重要,会,可能会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,很赞同,其他,很赞同
243,432.0,郭廉卿,汉族,团员,大一,完全是,较有特点,完全同意,完全同意,完全同意,完全同意,完全了解,完全了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
244,433.0,郭廉卿,汉族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,不太了解,不太了解,十分棒,特别多,较多比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,做外籍华人,很赞同
245,434.0,郭廉卿,汉族,团员,大一,一般般,较有特点,完全同意,完全同意,完全同意,有点同意,比较了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
246,435.0,郭廉卿,汉族,团员,大一,完全是,较有特点,完全同意,完全同意,同意,不同意,完全了解,完全了解,挺好,很多,大多数比例,一般般,有些,可能会,四十到六十,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,很赞同
247,436.0,郭廉卿,满族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,比较了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
248,437.0,郭廉卿,回族,团员,大一,一般般,较有特点,同意,同意,有点同意,同意,比较了解,比较了解,挺好,很多,较多比例,比较重要,会,绝对不会,八十到一百,比较激动,比较好,富有内涵，意义深刻,很有信心,肯定会,赞同,不加入,很赞同
249,438.0,郭廉卿,汉族,团员,大四,完全是,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,完全了解,十分棒,特别多,不多的比例,十分重要,会,很可能不会,六十到八十,感到非常激动,比较好,富有内涵，意义深刻,很有信心,大多数情况下会,很赞同,其他,很赞同
250,440.0,郭廉卿,汉族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
251,441.0,郭廉卿,汉族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,不同意,完全了解,完全了解,十分棒,特别多,大多数比例,十分重要,会,一定会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
252,442.0,郭廉卿,汉族,团员,大四,一般般,一般般,有点同意,同意,同意,同意,完全了解,比较了解,挺好,很多,极少比例,比较重要,有些,绝对不会,六十到八十,一般,一般,比较肯定,很有信心,肯定会,很赞同,其他,很赞同
253,443.0,郭廉卿,汉族,团员,大四,可以算,较有特点,完全同意,同意,有点同意,不同意,不太了解,不太了解,一般般,有一些,较多比例,不太重要,无所谓,绝对不会,六十到八十,比较激动,一般,富有内涵，意义深刻,担忧不好说,大多数情况下会,不一定,做外籍华人,赞同
254,444.0,郭廉卿,蒙古族,群众,大四,完全是,非常有特点,完全同意,完全同意,完全同意,有点同意,比较了解,比较了解,挺好,很多,不多的比例,十分重要,有些,绝对不会,八十到一百,比较激动,比较好,比较肯定,担忧不好说,肯定会,很赞同,其他,很赞同
255,445.0,郭廉卿,回族,党员,大四,完全是,非常有特点,完全同意,完全同意,同意,同意,比较了解,比较了解,挺好,有一些,不多的比例,比较重要,有些,很可能不会,六十到八十,比较激动,比较好,比较肯定,担忧不好说,大多数情况下会,很赞同,做外籍华人,赞同
256,446.0,郭廉卿,羌族,党员,大四,完全不是,毫无特点,有点同意,完全同意,有点同意,同意,比较了解,比较了解,挺好,很多,不多的比例,比较重要,有些,绝对不会,六十到八十,感到非常激动,感到自豪,比较肯定,很有信心,肯定会,很赞同,不加入,很赞同
257,447.0,郭廉卿,羌族,党员,大四,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,完全不了解,完全了解,一般般,很多,大多数比例,比较重要,会,很可能不会,八十到一百,感到非常激动,感到自豪,比较肯定,担忧不好说,肯定会,很赞同,不加入,很赞同
258,448.0,郭廉卿,汉族,团员,大四,完全是,一般般,同意,有点同意,有点同意,有点同意,比较了解,完全了解,较差,很少,不多的比例,不太重要,无所谓,很可能不会,四十到六十,一般,比较好,富有内涵，意义深刻,担忧不好说,不一定,不一定,不加入,很不赞同
259,449.0,郭廉卿,汉族,团员,大四,一般般,一般般,有点同意,同意,有点同意,有点同意,比较了解,完全了解,一般般,很少,较多比例,一般般,不太会,可能会,六十到八十,比较激动,一般,富有内涵，意义深刻,担忧不好说,大多数情况下会,赞同,不加入,不赞同
260,450.0,郭廉卿,汉族,团员,大四,一般般,一般般,同意,有点同意,不同意,有点同意,不太了解,不太了解,一般般,很少,不多的比例,一般般,不太会,也许会也许不会,四十到六十,比较激动,一般,富有内涵，意义深刻,担忧不好说,大多数情况下会,不一定,毫不犹豫加入,赞同
261,831.0,才何卓玛,藏族,团员,大一,可以算,较有特点,完全同意,完全同意,完全同意,完全同意,完全了解,比较了解,挺好,特别多,较多比例,十分重要,会,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
262,832.0,才何卓玛,瑶族,团员,大一,可以算,一般般,完全同意,完全同意,同意,完全同意,比较了解,完全了解,挺好,很多,不多的比例,比较重要,有些,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
263,833.0,才何卓玛,侗族,团员,大一,完全是,非常有特点,完全同意,完全同意,同意,同意,比较了解,比较了解,挺好,很多,不多的比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,不一定,很赞同,不加入,赞同
264,834.0,才何卓玛,汉族,党员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,比较了解,比较了解,挺好,很多,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,赞同,不加入,很赞同
265,835.0,才何卓玛,回族,团员,大一,一般般,一般般,完全同意,同意,有点同意,有点同意,比较了解,不太了解,一般般,很少,极少比例,比较重要,不太会,绝对不会,四十到六十,比较激动,比较好,富有内涵，意义深刻,担忧不好说,大多数情况下会,赞同,做外籍华人,赞同
266,836.0,才何卓玛,土家族,团员,大一,可以算,较无特点,同意,同意,有点同意,有点同意,比较了解,比较了解,一般般,很少,不多的比例,一般般,不太会,也许会也许不会,四十到六十,比较激动,比较好,富有内涵，意义深刻,担忧不好说,大多数情况下会,赞同,其他,赞同
267,837.0,才何卓玛,土家族,团员,大一,完全是,较有特点,同意,有点同意,同意,有点同意,比较了解,比较了解,挺好,有一些,较多比例,一般般,不太会,很可能不会,零到二十,感到非常激动,比较好,富有内涵，意义深刻,担忧不好说,大多数情况下会,赞同,毫不犹豫加入,不一定
268,838.0,才何卓玛,汉族,团员,大一,可以算,非常有特点,完全同意,不同意,完全不同意,有点同意,比较了解,比较了解,一般般,有一些,较多比例,一般般,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,担忧不好说,肯定会,赞同,不加入,赞同
269,839.0,才何卓玛,汉族,团员,大一,一般般,较有特点,有点同意,同意,有点同意,不同意,不太了解,比较了解,挺好,很多,较多比例,比较重要,有些,很可能不会,六十到八十,一般,一般,富有内涵，意义深刻,担忧不好说,大多数情况下会,赞同,做外籍华人,赞同
270,840.0,才何卓玛,回族,团员,大一,一般般,非常有特点,完全同意,完全同意,同意,同意,比较了解,比较了解,一般般,有一些,较多比例,比较重要,会,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,担忧不好说,肯定会,赞同,不加入,赞同
271,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,577.0,李莹莹,汉族,团员,大二,完全是,一般般,有点同意,完全同意,不同意,完全同意,比较了解,比较了解,一般般,有一些,较多比例,一般般,有些,绝对不会,20~40,没感觉,感到自豪,富有内涵，意义深刻,担忧不好说,肯定会,很赞同,做外籍华人,很赞同
273,578.0,,土家族,团员,大二,不太算,较有特点,不同意,有点同意,不同意,有点同意,比较了解,不太了解,一般般,有一些,不多的比例,一般般,不太会,绝对不会,六十到八十,一般,比较好,富有内涵，意义深刻,担忧不好说,肯定会,赞同,毫不犹豫加入,赞同
274,579.0,,汉族,团员,大二,一般般,非常有特点,不同意,有点同意,完全不同意,有点同意,比较了解,比较了解,很差劲,很少,不多的比例,不太重要,不会,绝对不会,20~40,一般,没感觉,比较肯定,担忧不好说,肯定会,很赞同,毫不犹豫加入,不一定
275,580.0,,汉族,群众,大二,完全是,较有特点,同意,完全同意,完全同意,完全同意,比较了解,比较了解,一般般,有一些,不多的比例,比较重要,会,绝对不会,六十到八十,比较激动,比较好,比较肯定,不清楚,肯定会,赞同,做外籍华人,赞同
276,581.0,,汉族,团员,大二,可以算,非常有特点,同意,完全同意,不同意,同意,比较了解,比较了解,挺好,很多,不多的比例,十分重要,会,绝对不会,六十到八十,比较激动,感到自豪,比较肯定,很有信心,肯定会,赞同,不加入,赞同
277,582.0,,汉族,团员,大三,一般般,较有特点,有点同意,同意,同意,不同意,比较了解,比较了解,一般般,有一些,较多比例,比较重要,有些,绝对不会,六十到八十,一般,比较好,富有内涵，意义深刻,担忧不好说,肯定会,赞同,其他,不一定
278,583.0,,侗族,团员,大三,完全是,较有特点,有点同意,完全同意,有点同意,完全同意,比较了解,比较了解,一般般,很多,不多的比例,十分重要,有些,绝对不会,八十到一百,没感觉,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,不一定
279,584.0,,回族,团员,大三,可以算,一般般,同意,同意,不同意,同意,比较了解,不太了解,一般般,有一些,不多的比例,一般般,无所谓,绝对不会,六十到八十,一般,一般,富有内涵，意义深刻,担忧不好说,肯定会,很赞同,不加入,不一定
280,585.0,,土家族,党员,大三,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,完全了解,比较了解,十分棒,特别多,不多的比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,赞同,不加入,很赞同
281,586.0,,汉族,团员,大三,一般般,较有特点,同意,完全同意,不同意,完全同意,不太了解,不太了解,挺好,很多,不多的比例,比较重要,有些,绝对不会,六十到八十,没感觉,感到自豪,比较肯定,很有信心,肯定会,很赞同,其他,赞同
282,587.0,,汉族,团员,大三,完全是,较有特点,同意,同意,同意,同意,不太了解,比较了解,挺好,很多,不多的比例,比较重要,有些,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,担忧不好说,不一定,很赞同,做外籍华人,赞同
283,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,610.0,贾娜,壮族,团员,大二,一般般,较有特点,同意,同意,同意,同意,不太了解,不太了解,挺好,很多,较多比例,比较重要,会,绝对不会,20~40,一般,感到自豪,富有内涵，意义深刻,担忧不好说,大多数情况下会,赞同,做外籍华人,赞同
285,611.0,,汉族,团员,大三,可以算,较有特点,同意,同意,同意,同意,比较了解,完全了解,挺好,很多,较多比例,比较重要,会,可能会,八十到一百,比较激动,比较好,富有内涵，意义深刻,很有信心,肯定会,赞同,不加入,赞同
286,612.0,,汉族,党员,大三,可以算,非常有特点,完全同意,完全不同意,完全不同意,同意,不太了解,不太了解,十分棒,很多,较多比例,比较重要,有些,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,赞同,做外籍华人,赞同
287,613.0,,汉族,团员,大四,可以算,非常有特点,同意,完全同意,同意,有点同意,不太了解,比较了解,一般般,有一些,不多的比例,一般般,无所谓,绝对不会,四十到六十,比较激动,比较好,富有内涵，意义深刻,担忧不好说,大多数情况下会,很赞同,其他,赞同
288,614.0,,壮族,团员,大四,可以算,非常有特点,同意,完全同意,同意,同意,比较了解,比较了解,挺好,很多,不多的比例,十分重要,会,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,赞同,其他,赞同
289,615.0,,黎族,团员,大四,完全是,毫无特点,有点同意,完全不同意,不同意,不同意,完全了解,比较了解,一般般,特别少,极少比例,不太重要,不太会,绝对不会,四十到六十,一般,比较好,古板，跟不上潮流,担忧不好说,肯定会,赞同,不加入,赞同
290,616.0,,彝族,党员,大四,可以算,一般般,同意,同意,同意,完全同意,比较了解,比较了解,挺好,很多,不多的比例,比较重要,有些,绝对不会,四十到六十,比较激动,比较好,比较肯定,很有信心,大多数情况下会,赞同,其他,赞同
291,617.0,,汉族,党员,大二,一般般,一般般,同意,同意,有点同意,同意,比较了解,比较了解,挺好,很多,较多比例,一般般,有些,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,担忧不好说,肯定会,很赞同,其他,不一定
292,618.0,,汉族,党员,大四,完全是,较有特点,同意,完全同意,同意,同意,比较了解,比较了解,挺好,很多,不多的比例,不太重要,会,绝对不会,八十到一百,一般,比较好,富有内涵，意义深刻,担忧不好说,不一定,赞同,其他,不赞同
293,619.0,,苗族,团员,大四,完全是,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,挺好,很多,较多比例,一般般,有些,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,赞同,其他,赞同
294,620.0,,藏族,团员,大四,一般般,较有特点,有点同意,完全同意,不同意,有点同意,比较了解,比较了解,挺好,很多,较多比例,一般般,会,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,赞同
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,698.0,贾浩,汉族,团员,大二,一般般,非常有特点,完全同意,完全同意,同意,完全同意,不太了解,不太了解,挺好,特别多,极少比例,十分重要,会,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,很赞同
297,699.0,,苗族,团员,大三,完全是,非常有特点,完全同意,完全同意,有点同意,完全同意,不太了解,不太了解,挺好,很多,较多比例,比较重要,会,绝对不会,六十到八十,比较激动,比较好,富有内涵，意义深刻,不清楚,肯定会,赞同,其他,赞同
298,700.0,,维吾尔族,团员,大一,完全是,较有特点,同意,完全同意,有点同意,同意,比较了解,完全了解,挺好,特别多,大多数比例,十分重要,会,绝对不会,六十到八十,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
299,701.0,,汉族,党员,大四,完全是,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,不太了解,挺好,特别多,较多比例,十分重要,有些,绝对不会,六十到八十,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
300,702.0,,汉族,团员,大二,完全是,较有特点,完全同意,完全同意,不同意,有点同意,不太了解,不太了解,一般般,很多,较多比例,十分重要,有些,很可能不会,八十到一百,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,赞同
301,703.0,,土家族,团员,大三,完全是,非常有特点,同意,同意,同意,完全同意,不太了解,比较了解,挺好,很多,较多比例,比较重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
302,704.0,,回族,党员,大三,完全是,非常有特点,有点同意,完全同意,同意,完全同意,比较了解,比较了解,挺好,有一些,不多的比例,十分重要,会,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,担忧不好说,肯定会,很赞同,不加入,赞同
303,705.0,,汉族,团员,大四,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,完全了解,完全了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
304,706.0,,壮族,团员,大四,不太算,较有特点,完全同意,完全同意,完全同意,完全同意,完全了解,完全了解,挺好,很多,不多的比例,十分重要,会,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,担忧不好说,大多数情况下会,很赞同,其他,很赞同
305,707.0,,黎族,党员,大三,可以算,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,不太了解,挺好,特别多,不多的比例,十分重要,会,绝对不会,八十到一百,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
306,708.0,,汉族,团员,大三,可以算,较有特点,完全同意,完全同意,有点同意,有点同意,比较了解,比较了解,挺好,特别多,不多的比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,赞同
307,676.0,刘利,维吾尔族,团员,大二,完全是,非常有特点,同意,完全同意,有点同意,完全同意,比较了解,比较了解,一般般,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,很赞同
308,677.0,刘利,壮族,团员,大二,可以算,较有特点,同意,同意,同意,有点同意,不太了解,不太了解,挺好,有一些,较多比例,比较重要,有些,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,赞同
309,678.0,刘利,土家族,团员,大二,不太算,较有特点,完全同意,同意,同意,同意,不太了解,不太了解,挺好,很多,大多数比例,一般般,有些,可能会,零到二十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,很赞同,做外籍华人,很赞同
310,679.0,刘利,土家族,团员,大二,完全是,较有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,挺好,很多,较多比例,比较重要,会,绝对不会,八十到一百,没感觉,感到自豪,比较肯定,担忧不好说,肯定会,很赞同,毫不犹豫加入,赞同
311,680.0,刘利,土家族,团员,大二,完全是,非常有特点,完全同意,完全同意,完全同意,同意,比较了解,比较了解,挺好,很多,大多数比例,十分重要,会,绝对不会,八十到一百,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
312,681.0,刘利,汉族,团员,大二,一般般,较有特点,完全不同意,完全不同意,不同意,同意,比较了解,比较了解,挺好,很多,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,很赞同,不加入,赞同
313,682.0,刘利,汉族,团员,大二,完全是,较有特点,同意,完全同意,同意,同意,比较了解,比较了解,一般般,有一些,不多的比例,一般般,无所谓,也许会也许不会,六十到八十,比较激动,比较好,富有内涵，意义深刻,没信心,肯定会,赞同,其他,赞同
314,683.0,刘利,满族,团员,大二,完全是,较有特点,同意,完全不同意,有点同意,完全不同意,比较了解,比较了解,挺好,有一些,不多的比例,一般般,无所谓,很可能不会,四十到六十,一般,比较好,富有内涵，意义深刻,担忧不好说,大多数情况下会,很赞同,做外籍华人,很不赞同
315,684.0,刘利,汉族,团员,大二,完全是,较有特点,完全同意,完全同意,有点同意,完全同意,比较了解,比较了解,一般般,很少,不多的比例,十分重要,有些,绝对不会,六十到八十,一般,感到自豪,比较肯定,担忧不好说,大多数情况下会,赞同,做外籍华人,赞同
316,685.0,刘利,回族,群众,大一,完全是,非常有特点,完全同意,完全同意,同意,完全同意,比较了解,不太了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,六十到八十,感到非常激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,其他,赞同
317,686.0,刘利,汉族,团员,大二,可以算,一般般,完全同意,完全同意,同意,同意,比较了解,比较了解,挺好,很多,不多的比例,比较重要,有些,绝对不会,六十到八十,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,赞同,其他,赞同
318,771.0,童艳娟,白族,团员,大一,完全是,非常有特点,完全同意,完全同意,同意,完全同意,比较了解,比较了解,挺好,很多,较多比例,比较重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,大多数情况下会,很赞同,做外籍华人,很赞同
319,772.0,童艳娟,壮族,团员,大一,完全是,较有特点,同意,完全同意,同意,有点同意,不太了解,不太了解,挺好,很多,较多比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,担忧不好说,大多数情况下会,很赞同,不加入,赞同
320,773.0,童艳娟,哈萨克族,团员,大一,完全是,非常有特点,完全同意,完全同意,完全同意,完全同意,比较了解,比较了解,十分棒,特别多,大多数比例,十分重要,会,绝对不会,八十到一百,比较激动,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,很赞同
321,774.0,童艳娟,畲族,团员,大一,完全是,非常有特点,完全同意,完全同意,不同意,不同意,完全了解,不太了解,挺好,很多,不多的比例,十分重要,会,绝对不会,六十到八十,没感觉,没感觉,富有内涵，意义深刻,很有信心,肯定会,赞同,不加入,赞同
322,775.0,童艳娟,哈尼族,团员,大一,完全是,一般般,同意,完全同意,同意,有点同意,比较了解,比较了解,一般般,有一些,较多比例,十分重要,会,绝对不会,六十到八十,一般,感到自豪,富有内涵，意义深刻,很有信心,肯定会,很赞同,不加入,赞同
